정류소 번호,정류소 아이디,정류소 명,GPS X 좌표,GPS Y 좌표,정류장 구분
1001,167970102,영주삼거리,129.0332617,35.11532333,일반
1002,169310303,영주삼거리,129.0330303,35.11528264,일반
1003,167970301,시민아파트,129.0316783,35.115075,일반
1004,167840102,시민아파트,129.0321599,35.11492136,일반
1005,167970302,중앙공원.민주공원입구,129.0298583,35.11447333,일반
1006,167840101,중앙공원.민주공원입구,129.0300887,35.11434417,일반
1007,167840201,중앙공원.민주공원입구,129.0296517,35.11397,일반
1008,167970201,동아아파트,129.0304267,35.11396667,일반
1009,168020203,동아아파트,129.0302883,35.11320109,일반
1010,167660301,부산터널위,129.031769,35.113068,일반
1011,167840202,동주파크맨션,129.02967,35.11144167,일반
1012,167830103,동주파크맨션,129.029845,35.11133667,일반
1013,168020202,금호아파트,129.03072,35.11149667,일반
1014,167970202,금호아파트,129.0306867,35.111095,일반
1015,167840203,청운아파트,129.0305383,35.109655,일반
1016,167830102,청운아파트,129.0307117,35.10957333,일반
1017,168020201,부산디지털고,129.031799,35.109566,일반
1018,167970203,부산디지털고,129.0319817,35.109475,일반
1019,167840204,부산디지털고,129.0302917,35.10778667,일반
1020,167830101,부산디지털고,129.0309883,35.10807167,일반
1021,168020102,중구청.메리놀병원,129.0329333,35.10753447,일반
1022,167910201,중구청.메리놀병원,129.0339333,35.10772833,일반
1023,167910101,중구청.메리놀병원,129.0337202,35.10808872,일반
1024,167910102,거북맨션,129.0339339,35.10979623,일반
1025,168020101,거북맨션,129.033714,35.10973863,일반
1026,167910202,코모도호텔,129.0348783,35.11018833,일반
1027,167670201,영주신호대,129.0344317,35.111245,일반
1028,167680201,영주동,129.0350043,35.11225491,일반
1029,167680101,영주동,129.0354533,35.112065,일반
1036,167930101,2부두,129.0406533,35.10856167,일반
1037,169270201,2부두,129.04012,35.10828,일반
1044,169270202,연안여객터미널,129.039155,35.10607667,일반
1045,167930102,연안여객터미널,129.0382717,35.10508333,일반
1046,167930201,부산세관,129.03744,35.10401667,일반
1047,167710301,제일은행앞,129.0348333,35.10295167,일반
1048,167950102,백산기념관.영화체험박물관,129.0342469,35.10268257,일반
1052,167730101,부산항만공사,129.037685,35.10077,일반
1053,211850401,부산항만공사,129.03792,35.10084167,일반
1058,208830101,중앙공원.민주공원,129.028602,35.112736,일반
1061,167960201,영도대교.남포역,129.0360163,35.09731831,일반
1062,167960202,영도대교.남포역,129.0358941,35.09761822,일반
1063,167850201,영도대교.남포역,129.0357433,35.097485,일반
1064,167850202,영도대교,129.035885,35.09705833,일반
1068,168000105,자갈치시장,129.032435,35.097535,일반
1069,168000104,자갈치시장,129.0322508,35.09746438,일반
1076,168000102,신동아시장,129.0293006,35.09713381,일반
1078,168000101,신동아시장,129.0289312,35.09707595,일반
1080,167810401,서구청.충무동,129.0255678,35.09802842,일반
1083,167920101,부평시장,129.0251683,35.10125833,일반
1084,167770201,부평시장,129.0251584,35.10213678,일반
1085,167920501,남포주유소,129.0225112,35.10150561,일반
1088,167890101,보수초등학교,129.0238655,35.10562987,일반
1089,210000301,보수초등학교,129.02416,35.10544167,일반
1090,167770301,보수사거리,129.0243683,35.10324833,일반
1091,209980201,보수사거리,129.0245,35.10313,일반
1092,167790201,국제시장,129.0286089,35.10284445,일반
1093,167790202,국제시장,129.0289521,35.10283595,일반
1095,167790203,국제시장,129.0298886,35.10279323,일반
1096,167790204,국제시장.부산근대역사관,129.030568,35.10277284,일반
1097,167950301,국제시장,129.0301817,35.10294333,일반
1100,167950303,국제시장,129.0296161,35.10308166,일반
1101,167790101,새들맨션,129.0309433,35.10501667,일반
1102,167910301,새들맨션,129.0305017,35.10487333,일반
1103,168250101,중구종합사회복지관,129.02863,35.10577,일반
1104,167830201,중구종합사회복지관,129.0272822,35.10597296,일반
1105,168410206,보수아파트,129.0261567,35.10738667,일반
1106,168250301,보수아파트,129.02616,35.10775,일반
1107,168410205,혜광고교,129.024225,35.10892333,일반
1110,167670202,코모도호텔,129.03493,35.11003333,일반
1111,167780101,보수동책방골목,129.0264483,35.10305667,일반
1112,167790401,보수동책방골목,129.026864,35.103104,일반
1113,167670203,코모도호텔입구,129.0343147,35.10809113,일반
1115,504640000,중앙공원.민주공원입구,129.0296898,35.11356783,일반
1701,510030000,영주동,129.0371461,35.10954966,일반
1702,510020000,영주동,129.037155,35.10902683,일반
1703,510080000,중부경찰서삼거리,129.0362468,35.10756417,일반
1704,510130000,중앙역.중부경찰서삼거리,129.0362418,35.10670363,일반
1705,510120000,중앙역.부산우체국,129.036284,35.10333253,일반
1706,510110000,중앙역.부산우체국,129.0364216,35.10467297,일반
1707,509930000,부산데파트,129.0364297,35.1008113,일반
1708,509940000,부산데파트,129.036658,35.10051458,일반
1709,509840000,남포역.옛시청교차로,129.035766,35.09859655,일반
1710,509850000,남포역.옛시청교차로,129.0352678,35.09796509,일반
1711,509830000,남포동,129.0325367,35.09792981,일반
1712,509820000,남포동,129.0319439,35.09790371,일반
1713,510040000,자갈치역.비프광장,129.0295042,35.09812482,일반
1714,510050000,자갈치역.비프광장,129.0291745,35.09787351,일반
2002,168570301,구덕초등학교,129.0129313,35.1195851,일반
2003,168580101,구덕초등학교,129.012773,35.119489,일반
2004,168780301,서부교육청,129.0119733,35.11816833,일반
2005,208930101,서부교육청,129.0122917,35.11736333,일반
2006,168470401,동아대병원입구,129.0167113,35.1174473,일반
2007,168570101,구덕운동장,129.0167683,35.11655833,일반
2009,168950301,동대신3동,129.0182933,35.11722,일반
2010,168470101,동대신3동,129.01848,35.11752,일반
2011,168410202,동대고개,129.0217543,35.11605684,일반
2012,168250306,동대고개,129.02234,35.11587667,일반
2013,168410203,대신여중,129.0257783,35.1133,일반
2014,168250304,대신여중,129.02608,35.113005,일반
2015,168410204,락서암,129.0246133,35.11035667,일반
2016,168250303,락서암,129.0248,35.11077,일반
2017,168250302,혜광고교,129.0243997,35.10898934,일반
2018,167900101,화랑초등학교,129.0227178,35.10983305,일반
2019,168670201,화랑초등학교,129.022365,35.10998333,일반
2020,168370101,동대시장,129.0199411,35.11065502,일반
2022,168670301,동대시장.동대신역,129.0184501,35.11041004,일반
2023,168670101,부산터널입구,129.0228448,35.11166396,일반
2024,168820301,서여고,129.0212833,35.11262833,일반
2025,168470203,서여고,129.0201367,35.11401333,일반
2026,168470202,동신초등학교입구,129.0192617,35.11453833,일반
2027,168470201,동신초등학교,129.01817,35.11513,일반
2028,168310301,동신초등학교,129.0191817,35.11484333,일반
2029,168310302,동신초등학교,129.0183503,35.11528762,일반
2030,168330101,문화아파트,129.0166483,35.11544584,일반
2031,168340201,부경고교,129.0140117,35.114255,일반
2032,168340202,구덕운동장,129.0139233,35.11386333,일반
2033,168340203,부경고교,129.0136117,35.11328167,일반
2034,168620401,삼육부산병원,129.011595,35.112665,일반
2035,168610101,삼육부산병원.서대신역,129.0119117,35.11159667,일반
2036,168620302,서대신교차로.서대신역,129.0111201,35.11057689,일반
2038,168760101,광민약국.서대신동,129.0098167,35.11106833,일반
2039,168610201,광민약국.서대신동,129.009755,35.11099833,일반
2040,168620201,서대신역.서부경찰서,129.01316,35.11043,일반
2041,168620101,서대신역.서대신교차로,129.0132317,35.11225669,일반
2042,168620102,부경고교,129.01382,35.11351,일반
2043,168320303,구덕운동장(종점),129.0157633,35.11389,일반
2044,168320302,구덕운동장,129.01605,35.11335167,일반
2045,168320301,서대신우체국,129.0164914,35.11290253,일반
2046,168320201,동대신역,129.0171518,35.11107765,일반
2048,168370301,서대시장.동대신역,129.0167973,35.1098648,일반
2050,168280101,서대시장,129.0161717,35.10945,일반
2051,168290101,서대시장.동대신역,129.0173967,35.10979151,일반
2052,168370201,서부교회,129.0183,35.10918667,일반
2053,168350401,서부교회,129.01924,35.10867667,일반
2054,168370202,서부교회,129.0196215,35.10796827,일반
2055,168460304,대진아파트,129.0244833,35.08727667,일반
2056,168350201,동아대부민캠퍼스,129.0200917,35.106025,일반
2057,168950101,동아대학교병원,129.0166502,35.11942772,일반
2058,168360101,동아대부민캠퍼스,129.020154,35.105652,일반
2059,168390101,동아대부민캠퍼스,129.0202387,35.10497964,일반
2060,211000103,대진아파트,129.0245783,35.08735667,일반
2061,168530401,영락교회,129.02061,35.10338333,일반
2062,168390201,영락교회,129.0207719,35.10317244,일반
2064,168380101,부산대학병원.토성역,129.019925,35.10134333,일반
2065,168390301,부산대학병원.토성역,129.0197783,35.10133833,일반
2066,168380401,토성역.아미동입구,129.018015,35.09994,일반
2067,168500101,토성역.아미동입구,129.01867,35.0998,일반
2068,168500301,아동보호종합센터,129.0158717,35.10001667,일반
2069,168500302,양성슈퍼,129.0133567,35.10022333,일반
2070,168600301,까치새길입구,129.01153,35.10138,일반
2071,168600302,아름다운교회,129.0109617,35.10309,일반
2072,208270201,아름다운교회,129.010835,35.10281333,일반
2073,208270202,까치새길입구,129.0114517,35.10139333,일반
2074,168600101,양성슈퍼,129.0135117,35.10009833,일반
2075,168600102,아동보호종합센터,129.0160533,35.10002833,일반
2076,168500201,아미치안센터,129.0160775,35.09943502,일반
2077,168490301,아미치안센터,129.016805,35.100007,일반
2078,168490101,아미초등학교,129.017205,35.09774333,일반
2079,168480201,아미초등학교,129.0172217,35.0978,일반
2080,168380301,토성동,129.0205283,35.09805,일반
2081,168400402,부산대학병원.토성역,129.0201312,35.09896016,일반
2082,168400401,토성동,129.02083,35.09793333,일반
2084,208920102,암남공원,129.019225,35.06311833,일반
2085,167920303,서구청,129.0251522,35.09764789,일반
2087,168460201,충무동해안시장,129.0252464,35.09615736,일반
2088,168460202,충무동해안시장,129.025895,35.09631833,일반
2089,211000106,자갈치역.충무동해안시장,129.0245128,35.09577425,일반
2090,168460303,충무동교차로,129.0242667,35.09562667,일반
2091,168460401,자갈치역.충무동교차로,129.0238026,35.09662684,일반
2092,168460402,충무동교차로,129.0231017,35.09666333,일반
2093,168400101,충무동교차로,129.023415,35.09646167,일반
2094,168750302,하동상회,129.0182383,35.09623833,일반
2095,168480102,하동상회,129.0182517,35.096015,일반
2096,168750301,초장중학교,129.0190867,35.094505,일반
2097,168480101,초장중학교,129.019,35.09437833,일반
2098,168480103,초장동,129.018436,35.09285671,일반
2099,168640305,초장동,129.01875,35.09255,일반
2100,168750201,대원사,129.020005,35.091555,일반
2101,168640304,대원사,129.0199617,35.09163667,일반
2102,168400201,남부민시장입구,129.0221269,35.09265387,일반
2103,168720201,남부민시장입구,129.0220787,35.0931382,일반
2104,168460301,충무쇼핑.충무동새벽시장,129.023895,35.092815,일반
2105,211000105,충무쇼핑.충무동새벽시장,129.0240267,35.09280167,일반
2106,211000104,공동어시장,129.024375,35.089665,일반
2107,168460302,공동어시장,129.024305,35.08897833,일반
2108,168540303,남부민초등학교,129.0234067,35.08782833,일반
2109,168730201,남부민초등학교,129.0232983,35.08824167,일반
2110,168640303,동천아파트,129.021685,35.09005667,일반
2111,168750202,동천아파트,129.021544,35.09054675,일반
2112,168750203,남부민동경로당,129.02179,35.08767,일반
2113,168640302,남부민동경로당,129.021815,35.087435,일반
2114,168730202,천마우편취급국,129.0225133,35.08584833,일반
2115,168540302,천마우편취급국,129.0221,35.08515833,일반
2116,168460305,등대시장,129.02478,35.08471333,일반
2117,211000102,등대시장,129.0249884,35.08432033,일반
2118,211000101,대림아파트,129.0251483,35.082445,일반
2119,168460306,대림아파트,129.0248883,35.082295,일반
2120,168450102,부산관광고교,129.0220017,35.08211833,일반
2121,168540301,남부민2동주민센터,129.020285,35.083805,일반
2122,168730203,남부민2동주민센터,129.02034,35.083633,일반
2123,168540102,부산관광고교,129.0218967,35.08240333,일반
2124,168540101,신익아파트,129.02039,35.07998833,일반
2125,168450101,신익아파트,129.0202783,35.079405,일반
2126,211000201,암남동주민센터,129.0213187,35.07986201,일반
2127,168450201,암남동주민센터,129.0217317,35.07976667,일반
2128,168560101,송도교차로,129.0183633,35.07836833,일반
2129,168560301,송도입구,129.0180467,35.079465,일반
2130,168420301,고신대학교복음병원,129.0161511,35.08147046,일반
2131,168430201,알로이시오기념병원,129.01282,35.08211833,일반
2132,168440201,알로이시오기념병원,129.0128783,35.08187,일반
2133,168430101,고신대학교복음병원,129.0159233,35.08125333,일반
2134,168420101,송도입구,129.0174606,35.0797797,일반
2135,209910206,송도교차로,129.0181188,35.07840113,일반
2136,168560201,송도초등학교,129.016815,35.07883833,일반
2137,209910204,송도초등학교,129.0164333,35.07841667,일반
2138,209910203,송도해수욕장,129.0161333,35.076375,일반
2139,168560202,송도해수욕장,129.0158819,35.07673569,일반
2140,168560203,송도공영주차장,129.015295,35.074225,일반
2141,209910202,송도공영주차장,129.0154117,35.07396667,일반
2142,208920202,혜성아파트,129.0161383,35.07149833,일반
2143,209910101,혜성아파트,129.0162467,35.07117833,일반
2144,208920101,휴게소,129.0192967,35.06607833,일반
2145,168550301,휴게소,129.0197883,35.06583167,일반
2146,168550302,암남공원,129.0192817,35.06353667,일반
2147,168550201,모지포마을입구,129.0163333,35.06279167,일반
2148,168550202,모지포마을,129.014585,35.06377167,일반
2149,168780102,경성전자고등학교,129.0135498,35.11605574,일반
2150,208930102,경성전자고등학교,129.01282,35.11640833,일반
2151,168510101,동원냉장,129.012798,35.065605,일반
2152,168510301,감천1.2.3부두,129.0094683,35.06832833,일반
2153,168520301,동원냉장,129.0129833,35.06564833,일반
2154,168760201,민들레맨션,129.0092033,35.10864833,일반
2155,168680101,민들레맨션,129.0093917,35.10912667,일반
2156,210980301,인성글로벌냉장,129.006735,35.072705,일반
2157,208850203,인성글로벌냉장,129.0066367,35.07256333,일반
2158,208850201,한일냉장,129.0053883,35.08054,일반
2159,210980303,한일냉장,129.005565,35.08002833,일반
2160,168780302,서대신금호아파트(종점),129.0111617,35.11932333,일반
2161,209910201,송도혜성아파트(종점),129.015955,35.072275,일반
2162,168250305,동대신2동,129.0238267,35.11524333,일반
2163,168410201,동대신2동,129.0240933,35.11492333,일반
2166,208850202,동양레미콘,129.0060017,35.07578667,일반
2167,210990101,감천1.2.3부두,129.0094483,35.068205,일반
2168,210980302,동양레미콘,129.0060733,35.07618667,일반
2169,168780101,대신중학교,129.01375,35.117025,일반
2170,168570501,경남고등학교,129.0179917,35.11913667,일반
2171,208920201,현대아파트,129.0175323,35.07090221,일반
2172,209910102,현대아파트,129.0168217,35.07085667,일반
2173,168750204,해강노인관,129.0202183,35.08504167,일반
2174,168640301,해강노인관,129.0200583,35.08483,일반
2175,168520101,모지포마을,129.014525,35.06372667,일반
2177,168520201,성진수산,129.0120101,35.06218652,일반
2178,168850101,성진수산,129.0121305,35.06193789,일반
2179,168850201,부산국제수산물도매시장,129.011436,35.059938,일반
2180,168350101,동아대부민캠퍼스,129.0209211,35.10748733,일반
2181,167900401,동아대부민캠퍼스,129.0217737,35.1076376,일반
2182,212650201,수산가공선진화단지입구,129.0122832,35.05705224,일반
2183,215980101,수산가공선진화단지입구,129.0126056,35.05701535,일반
2184,215970101,수산가공선진화단지,129.0119554,35.05463798,일반
2185,212650101,부산국제수산물도매시장,129.011483,35.059855,일반
2186,168750205,남부민동,129.0179927,35.08326948,일반
2187,168630201,동산교회,129.0157694,35.08439027,일반
2188,168870201,알로이시오고교,129.0122987,35.08234815,일반
2189,168540201,남부민동,129.0184266,35.08302891,일반
2190,168280301,서대신역.서부경찰서,129.0143599,35.10998239,일반
2191,210740201,천마마을,129.0144322,35.08451163,일반
2194,504570000,문화아파트,129.0161216,35.11527679,일반
2195,168600303,까치고개,129.011425,35.10458167,일반
3001,170050202,범곡교차로,129.0562937,35.14008672,일반
3002,170050201,범곡교차로,129.056415,35.14063833,일반
3003,169300101,부산범천교회,129.0548604,35.14184118,일반
3004,169210102,아름빌아파트,129.0522487,35.14152152,일반
3005,169300301,아름빌아파트,129.0522233,35.14167333,일반
3006,169210101,서광교회,129.05114,35.139965,일반
3007,169300302,서광교회,129.0511583,35.14054333,일반
3008,169410301,범일초등학교,129.0490067,35.14069833,일반
