,날짜,기사제목,기사내용
0,2021.11.28. 오후 2:47,"[포토뉴스] 사상구청, 청춘버스 당당버스 발차식 개최","사상구청, 청춘버스 당당버스 발차식 개최부산 사상구청은 최근 삼락복합문화체육센터 건립 예정지에서 노인과 장애인을 위한 저상버스 ‘청춘버스, 당당버스’ 발차식을 개최했다."
1,2021.11.05. 오전 8:44,부산 저상버스 도입률 2026년까지 70%로 확대," Loading... player_likesound_mutesound_mutesound_volume2sound_volume3 [x]Player Size:Current Resolution:Max Abr Resolution:Protocol:Current Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate: 도움말라이센스Video Statistic Version 4.26.10 ()Build Date (2021/10/1)NAVER Corp.     동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다. topleft rightbottom마우스를 드래그 하세요360° Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내       음소거00:00 | 00:00 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말 플레이어 URL 복사 레이어 닫기[KBS 부산]교통 약자의 이동 편의를 위한 저상버스 운행이 늘어납니다.국토교통부는 부산에서 운행 중인 시내버스 중 저상버스 비율을 2026년까지 70%로 올리기로 했습니다.지난해 기준 부산의 저상버스 도입률은 27% 정도로 서울과 대구 등에 이어 전국 다섯 번째에 머물고 있습니다.국토부는 또 국비 지원 등으로 버스 정류장과 도시철도 등의 이동 편의시설 설치율도 높이기로 했습니다."
2,2021.11.26. 오전 5:00,"[오늘의 주요 일정] 부산(26일, 금)",부산광역시청 전경 © News1 여주연 기자(부산=뉴스1) = ◇부산시-박형준 시장10:00 사랑의 김치나눔 한마당 후원금 전달식(26층 회의실)11:00 제39회 부산산업대상 시상식(부산상공회의소)◇부산진구-서은숙 구청장11:00 제5기 지역발전포럼 성과보고회(롯데호텔)14:00 제15회 부산진문화원의 날 행사(대강당)16:00 코로나19대응 유공시민 시상식 개최(부산시민공원 다솜광장)19:00 부산진문화재단 청년인문학 콘서트 ‘공백의 시간’(KT&G상상마당 1층 라운지)◇사상구-여운철 권한대행11:00 생활문화운동업무 평가회(영상회의실)14:00 저상버스 발차식(삼락복합문화체육센터)16:00 합동평가대비 보고회(영상회의실)◇동래구-김우룡 구청장16:00 국·공립어린이집 연합회 간담회(2층 대회의실)◇금정구-정미영 구청장11:00 참좋은지방정부협의회 정기총회(영등포구 웨딩그룹위더스 5층)◇해운대구-홍순헌 구청장10:00 공감 구청장실(민원실)13:50 공약이행 평가보고회(중회의실)14:00 공감 구청장실(민원실)◇남구-박재범 구청장14:10 일상회복을 위한 With 주민자치 체험(용호시장 웰빙문화센터)◇중구-최진봉 구청장15:00 건어물시장 IBK희망디자인 오픈행사(건어물시장)◇동구-최형욱 구청장11:30 명란브랜드연구소 개소 및 이바구길 2.0 선포식13:30 동구 사회복지박람회 격려 및 체험(구청광장 및 2층 로비)14:00 여성친화박람회 여친온데이(대강당)18:00 베란다콘서트(이편한세상)◇북구-정명희 구청장10:00 미래형 학관 복합청사건립 기본구상 용역 중간보고회(중회의실)13:30 독거노인복지재단 독거노인 안전 리어카 전달식(구청 앞마당)15:00 사회복지정책 토론회(북구문화예술회관)◇강서구-노기태 구청장09:30 바르게살기운동 강서구협의회 김장나눔행사(구청 광장)14:00 제231회 정례회 제2차 본회의(본회의장)		
