,정류소 번호,정류소 아이디,정류소 명,위도,경도,정류장 구분
0,1001,167970102.0,영주삼거리,35.11532333,129.0332617,시내
1,1002,169310303.0,영주삼거리,35.11528264,129.0330303,시내
2,1003,167970301.0,시민아파트,35.115075,129.0316783,시내
3,1004,167840102.0,시민아파트,35.11492136,129.0321599,시내
4,1005,167970302.0,중앙공원.민주공원입구,35.11447333,129.0298583,시내
5,1006,167840101.0,중앙공원.민주공원입구,35.11434417,129.0300887,시내
6,1007,167840201.0,중앙공원.민주공원입구,35.11397,129.0296517,시내
7,1008,167970201.0,동아아파트,35.11396667,129.0304267,시내
8,1009,168020203.0,동아아파트,35.11320109,129.0302883,시내
9,1010,167660301.0,부산터널위,35.113068,129.031769,시내
10,1011,167840202.0,동주파크맨션,35.11144167,129.02967,시내
11,1012,167830103.0,동주파크맨션,35.11133667,129.029845,시내
12,1013,168020202.0,금호아파트,35.11149667,129.03072,시내
13,1014,167970202.0,금호아파트,35.111095,129.0306867,시내
14,1015,167840203.0,청운아파트,35.109655,129.0305383,시내
15,1016,167830102.0,청운아파트,35.10957333,129.0307117,시내
16,1017,168020201.0,부산디지털고,35.109566,129.031799,시내
17,1018,167970203.0,부산디지털고,35.109475,129.0319817,시내
18,1019,167840204.0,부산디지털고,35.10778667,129.0302917,시내
19,1020,167830101.0,부산디지털고,35.10807167,129.0309883,시내
20,1021,168020102.0,중구청.메리놀병원,35.10753447,129.0329333,시내
21,1022,167910201.0,중구청.메리놀병원,35.10772833,129.0339333,시내
22,1023,167910101.0,중구청.메리놀병원,35.10808872,129.0337202,시내
23,1024,167910102.0,거북맨션,35.10979623,129.0339339,시내
24,1025,168020101.0,거북맨션,35.10973863,129.033714,시내
25,1026,167910202.0,코모도호텔,35.11018833,129.0348783,시내
26,1027,167670201.0,영주신호대,35.111245,129.0344317,시내
27,1028,167680201.0,영주동,35.11225491,129.0350043,시내
28,1029,167680101.0,영주동,35.112065,129.0354533,시내
29,1036,167930101.0,2부두,35.10856167,129.0406533,시내
30,1037,169270201.0,2부두,35.10828,129.04012,시내
31,1044,169270202.0,연안여객터미널,35.10607667,129.039155,시내
32,1045,167930102.0,연안여객터미널,35.10508333,129.0382717,시내
33,1046,167930201.0,부산세관,35.10401667,129.03744,시내
34,1047,167710301.0,제일은행앞,35.10295167,129.0348333,시내
35,1048,167950102.0,백산기념관.영화체험박물관,35.10268257,129.0342469,시내
36,1052,167730101.0,부산항만공사,35.10077,129.037685,시내
37,1053,211850401.0,부산항만공사,35.10084167,129.03792,시내
38,1058,208830101.0,중앙공원.민주공원,35.112736,129.028602,시내
39,1061,167960201.0,영도대교.남포역,35.09731831,129.0360163,시내
40,1062,167960202.0,영도대교.남포역,35.09761822,129.0358941,시내
41,1063,167850201.0,영도대교.남포역,35.097485,129.0357433,시내
42,1064,167850202.0,영도대교,35.09705833,129.035885,시내
43,1068,168000105.0,자갈치시장,35.097535,129.032435,시내
44,1069,168000104.0,자갈치시장,35.09746438,129.0322508,시내
45,1076,168000102.0,신동아시장,35.09713381,129.0293006,시내
46,1078,168000101.0,신동아시장,35.09707595,129.0289312,시내
47,1080,167810401.0,서구청.충무동,35.09802842,129.0255678,시내
48,1083,167920101.0,부평시장,35.10125833,129.0251683,시내
49,1084,167770201.0,부평시장,35.10213678,129.0251584,시내
50,1085,167920501.0,남포주유소,35.10150561,129.0225112,시내
51,1088,167890101.0,보수초등학교,35.10562987,129.0238655,시내
52,1089,210000301.0,보수초등학교,35.10544167,129.02416,시내
53,1090,167770301.0,보수사거리,35.10324833,129.0243683,시내
54,1091,209980201.0,보수사거리,35.10313,129.0245,시내
55,1092,167790201.0,국제시장,35.10284445,129.0286089,시내
56,1093,167790202.0,국제시장,35.10283595,129.0289521,시내
57,1095,167790203.0,국제시장,35.10279323,129.0298886,시내
58,1096,167790204.0,국제시장.부산근대역사관,35.10277284,129.030568,시내
59,1097,167950301.0,국제시장,35.10294333,129.0301817,시내
60,1100,167950303.0,국제시장,35.10308166,129.0296161,시내
61,1101,167790101.0,새들맨션,35.10501667,129.0309433,시내
62,1102,167910301.0,새들맨션,35.10487333,129.0305017,시내
63,1103,168250101.0,중구종합사회복지관,35.10577,129.02863,시내
64,1104,167830201.0,중구종합사회복지관,35.10597296,129.0272822,시내
65,1105,168410206.0,보수아파트,35.10738667,129.0261567,시내
66,1106,168250301.0,보수아파트,35.10775,129.02616,시내
67,1107,168410205.0,혜광고교,35.10892333,129.024225,시내
68,1110,167670202.0,코모도호텔,35.11003333,129.03493,시내
69,1111,167780101.0,보수동책방골목,35.10305667,129.0264483,시내
70,1112,167790401.0,보수동책방골목,35.103104,129.026864,시내
71,1113,167670203.0,코모도호텔입구,35.10809113,129.0343147,시내
72,1115,504640000.0,중앙공원.민주공원입구,35.11356783,129.0296898,시내
73,1701,510030000.0,영주동,35.10954966,129.0371461,시내
74,1702,510020000.0,영주동,35.10902683,129.037155,시내
75,1703,510080000.0,중부경찰서삼거리,35.10756417,129.0362468,시내
76,1704,510130000.0,중앙역.중부경찰서삼거리,35.10670363,129.0362418,시내
77,1705,510120000.0,중앙역.부산우체국,35.10333253,129.036284,시내
78,1706,510110000.0,중앙역.부산우체국,35.10467297,129.0364216,시내
79,1707,509930000.0,부산데파트,35.1008113,129.0364297,시내
80,1708,509940000.0,부산데파트,35.10051458,129.036658,시내
81,1709,509840000.0,남포역.옛시청교차로,35.09859655,129.035766,시내
82,1710,509850000.0,남포역.옛시청교차로,35.09796509,129.0352678,시내
83,1711,509830000.0,남포동,35.09792981,129.0325367,시내
84,1712,509820000.0,남포동,35.09790371,129.0319439,시내
85,1713,510040000.0,자갈치역.비프광장,35.09812482,129.0295042,시내
86,1714,510050000.0,자갈치역.비프광장,35.09787351,129.0291745,시내
87,2002,168570301.0,구덕초등학교,35.1195851,129.0129313,시내
88,2003,168580101.0,구덕초등학교,35.119489,129.012773,시내
89,2004,168780301.0,서부교육청,35.11816833,129.0119733,시내
90,2005,208930101.0,서부교육청,35.11736333,129.0122917,시내
91,2006,168470401.0,동아대병원입구,35.1174473,129.0167113,시내
92,2007,168570101.0,구덕운동장,35.11655833,129.0167683,시내
93,2009,168950301.0,동대신3동,35.11722,129.0182933,시내
94,2010,168470101.0,동대신3동,35.11752,129.01848,시내
95,2011,168410202.0,동대고개,35.11605684,129.0217543,시내
96,2012,168250306.0,동대고개,35.11587667,129.02234,시내
97,2013,168410203.0,대신여중,35.1133,129.0257783,시내
98,2014,168250304.0,대신여중,35.113005,129.02608,시내
99,2015,168410204.0,락서암,35.11035667,129.0246133,시내
100,2016,168250303.0,락서암,35.11077,129.0248,시내
101,2017,168250302.0,혜광고교,35.10898934,129.0243997,시내
102,2018,167900101.0,화랑초등학교,35.10983305,129.0227178,시내
103,2019,168670201.0,화랑초등학교,35.10998333,129.022365,시내
104,2020,168370101.0,동대시장,35.11065502,129.0199411,시내
105,2022,168670301.0,동대시장.동대신역,35.11041004,129.0184501,시내
106,2023,168670101.0,부산터널입구,35.11166396,129.0228448,시내
107,2024,168820301.0,서여고,35.11262833,129.0212833,시내
108,2025,168470203.0,서여고,35.11401333,129.0201367,시내
109,2026,168470202.0,동신초등학교입구,35.11453833,129.0192617,시내
110,2027,168470201.0,동신초등학교,35.11513,129.01817,시내
111,2028,168310301.0,동신초등학교,35.11484333,129.0191817,시내
112,2029,168310302.0,동신초등학교,35.11528762,129.0183503,시내
113,2030,168330101.0,문화아파트,35.11544584,129.0166483,시내
114,2031,168340201.0,부경고교,35.114255,129.0140117,시내
115,2032,168340202.0,구덕운동장,35.11386333,129.0139233,시내
116,2033,168340203.0,부경고교,35.11328167,129.0136117,시내
117,2034,168620401.0,삼육부산병원,35.112665,129.011595,시내
118,2035,168610101.0,삼육부산병원.서대신역,35.11159667,129.0119117,시내
119,2036,168620302.0,서대신교차로.서대신역,35.11057689,129.0111201,시내
120,2038,168760101.0,광민약국.서대신동,35.11106833,129.0098167,시내
121,2039,168610201.0,광민약국.서대신동,35.11099833,129.009755,시내
122,2040,168620201.0,서대신역.서부경찰서,35.11043,129.01316,시내
123,2041,168620101.0,서대신역.서대신교차로,35.11225669,129.0132317,시내
124,2042,168620102.0,부경고교,35.11351,129.01382,시내
125,2043,168320303.0,구덕운동장(종점),35.11389,129.0157633,시내
126,2044,168320302.0,구덕운동장,35.11335167,129.01605,시내
127,2045,168320301.0,서대신우체국,35.11290253,129.0164914,시내
128,2046,168320201.0,동대신역,35.11107765,129.0171518,시내
129,2048,168370301.0,서대시장.동대신역,35.1098648,129.0167973,시내
130,2050,168280101.0,서대시장,35.10945,129.0161717,시내
131,2051,168290101.0,서대시장.동대신역,35.10979151,129.0173967,시내
132,2052,168370201.0,서부교회,35.10918667,129.0183,시내
133,2053,168350401.0,서부교회,35.10867667,129.01924,시내
134,2054,168370202.0,서부교회,35.10796827,129.0196215,시내
135,2055,168460304.0,대진아파트,35.08727667,129.0244833,시내
136,2056,168350201.0,동아대부민캠퍼스,35.106025,129.0200917,시내
137,2057,168950101.0,동아대학교병원,35.11942772,129.0166502,시내
138,2058,168360101.0,동아대부민캠퍼스,35.105652,129.020154,시내
139,2059,168390101.0,동아대부민캠퍼스,35.10497964,129.0202387,시내
140,2060,211000103.0,대진아파트,35.08735667,129.0245783,시내
141,2061,168530401.0,영락교회,35.10338333,129.02061,시내
142,2062,168390201.0,영락교회,35.10317244,129.0207719,시내
143,2064,168380101.0,부산대학병원.토성역,35.10134333,129.019925,시내
144,2065,168390301.0,부산대학병원.토성역,35.10133833,129.0197783,시내
145,2066,168380401.0,토성역.아미동입구,35.09994,129.018015,시내
146,2067,168500101.0,토성역.아미동입구,35.0998,129.01867,시내
147,2068,168500301.0,아동보호종합센터,35.10001667,129.0158717,시내
148,2069,168500302.0,양성슈퍼,35.10022333,129.0133567,시내
149,2070,168600301.0,까치새길입구,35.10138,129.01153,시내
150,2071,168600302.0,아름다운교회,35.10309,129.0109617,시내
151,2072,208270201.0,아름다운교회,35.10281333,129.010835,시내
152,2073,208270202.0,까치새길입구,35.10139333,129.0114517,시내
153,2074,168600101.0,양성슈퍼,35.10009833,129.0135117,시내
154,2075,168600102.0,아동보호종합센터,35.10002833,129.0160533,시내
155,2076,168500201.0,아미치안센터,35.09943502,129.0160775,시내
156,2077,168490301.0,아미치안센터,35.100007,129.016805,시내
157,2078,168490101.0,아미초등학교,35.09774333,129.017205,시내
158,2079,168480201.0,아미초등학교,35.0978,129.0172217,시내
159,2080,168380301.0,토성동,35.09805,129.0205283,시내
160,2081,168400402.0,부산대학병원.토성역,35.09896016,129.0201312,시내
161,2082,168400401.0,토성동,35.09793333,129.02083,시내
162,2084,208920102.0,암남공원,35.06311833,129.019225,시내
163,2085,167920303.0,서구청,35.09764789,129.0251522,시내
164,2087,168460201.0,충무동해안시장,35.09615736,129.0252464,시내
165,2088,168460202.0,충무동해안시장,35.09631833,129.025895,시내
166,2089,211000106.0,자갈치역.충무동해안시장,35.09577425,129.0245128,시내
167,2090,168460303.0,충무동교차로,35.09562667,129.0242667,시내
168,2091,168460401.0,자갈치역.충무동교차로,35.09662684,129.0238026,시내
169,2092,168460402.0,충무동교차로,35.09666333,129.0231017,시내
170,2093,168400101.0,충무동교차로,35.09646167,129.023415,시내
171,2094,168750302.0,하동상회,35.09623833,129.0182383,시내
172,2095,168480102.0,하동상회,35.096015,129.0182517,시내
173,2096,168750301.0,초장중학교,35.094505,129.0190867,시내
174,2097,168480101.0,초장중학교,35.09437833,129.019,시내
175,2098,168480103.0,초장동,35.09285671,129.018436,시내
176,2099,168640305.0,초장동,35.09255,129.01875,시내
177,2100,168750201.0,대원사,35.091555,129.020005,시내
178,2101,168640304.0,대원사,35.09163667,129.0199617,시내
179,2102,168400201.0,남부민시장입구,35.09265387,129.0221269,시내
180,2103,168720201.0,남부민시장입구,35.0931382,129.0220787,시내
181,2104,168460301.0,충무쇼핑.충무동새벽시장,35.092815,129.023895,시내
182,2105,211000105.0,충무쇼핑.충무동새벽시장,35.09280167,129.0240267,시내
183,2106,211000104.0,공동어시장,35.089665,129.024375,시내
184,2107,168460302.0,공동어시장,35.08897833,129.024305,시내
185,2108,168540303.0,남부민초등학교,35.08782833,129.0234067,시내
186,2109,168730201.0,남부민초등학교,35.08824167,129.0232983,시내
187,2110,168640303.0,동천아파트,35.09005667,129.021685,시내
188,2111,168750202.0,동천아파트,35.09054675,129.021544,시내
189,2112,168750203.0,남부민동경로당,35.08767,129.02179,시내
190,2113,168640302.0,남부민동경로당,35.087435,129.021815,시내
191,2114,168730202.0,천마우편취급국,35.08584833,129.0225133,시내
192,2115,168540302.0,천마우편취급국,35.08515833,129.0221,시내
193,2116,168460305.0,등대시장,35.08471333,129.02478,시내
194,2117,211000102.0,등대시장,35.08432033,129.0249884,시내
195,2118,211000101.0,대림아파트,35.082445,129.0251483,시내
196,2119,168460306.0,대림아파트,35.082295,129.0248883,시내
197,2120,168450102.0,부산관광고교,35.08211833,129.0220017,시내
198,2121,168540301.0,남부민2동주민센터,35.083805,129.020285,시내
199,2122,168730203.0,남부민2동주민센터,35.083633,129.02034,시내
200,2123,168540102.0,부산관광고교,35.08240333,129.0218967,시내
201,2124,168540101.0,신익아파트,35.07998833,129.02039,시내
202,2125,168450101.0,신익아파트,35.079405,129.0202783,시내
203,2126,211000201.0,암남동주민센터,35.07986201,129.0213187,시내
204,2127,168450201.0,암남동주민센터,35.07976667,129.0217317,시내
205,2128,168560101.0,송도교차로,35.07836833,129.0183633,시내
206,2129,168560301.0,송도입구,35.079465,129.0180467,시내
207,2130,168420301.0,고신대학교복음병원,35.08147046,129.0161511,시내
208,2131,168430201.0,알로이시오기념병원,35.08211833,129.01282,시내
209,2132,168440201.0,알로이시오기념병원,35.08187,129.0128783,시내
210,2133,168430101.0,고신대학교복음병원,35.08125333,129.0159233,시내
211,2134,168420101.0,송도입구,35.0797797,129.0174606,시내
212,2135,209910206.0,송도교차로,35.07840113,129.0181188,시내
213,2136,168560201.0,송도초등학교,35.07883833,129.016815,시내
214,2137,209910204.0,송도초등학교,35.07841667,129.0164333,시내
215,2138,209910203.0,송도해수욕장,35.076375,129.0161333,시내
216,2139,168560202.0,송도해수욕장,35.07673569,129.0158819,시내
217,2140,168560203.0,송도공영주차장,35.074225,129.015295,시내
218,2141,209910202.0,송도공영주차장,35.07396667,129.0154117,시내
219,2142,208920202.0,혜성아파트,35.07149833,129.0161383,시내
220,2143,209910101.0,혜성아파트,35.07117833,129.0162467,시내
221,2144,208920101.0,휴게소,35.06607833,129.0192967,시내
222,2145,168550301.0,휴게소,35.06583167,129.0197883,시내
223,2146,168550302.0,암남공원,35.06353667,129.0192817,시내
224,2147,168550201.0,모지포마을입구,35.06279167,129.0163333,시내
225,2148,168550202.0,모지포마을,35.06377167,129.014585,시내
226,2149,168780102.0,경성전자고등학교,35.11605574,129.0135498,시내
227,2150,208930102.0,경성전자고등학교,35.11640833,129.01282,시내
228,2151,168510101.0,동원냉장,35.065605,129.012798,시내
229,2152,168510301.0,감천1.2.3부두,35.06832833,129.0094683,시내
230,2153,168520301.0,동원냉장,35.06564833,129.0129833,시내
231,2154,168760201.0,민들레맨션,35.10864833,129.0092033,시내
232,2155,168680101.0,민들레맨션,35.10912667,129.0093917,시내
233,2156,210980301.0,인성글로벌냉장,35.072705,129.006735,시내
234,2157,208850203.0,인성글로벌냉장,35.07256333,129.0066367,시내
235,2158,208850201.0,한일냉장,35.08054,129.0053883,시내
236,2159,210980303.0,한일냉장,35.08002833,129.005565,시내
237,2160,168780302.0,서대신금호아파트(종점),35.11932333,129.0111617,시내
238,2161,209910201.0,송도혜성아파트(종점),35.072275,129.015955,시내
239,2162,168250305.0,동대신2동,35.11524333,129.0238267,시내
240,2163,168410201.0,동대신2동,35.11492333,129.0240933,시내
241,2166,208850202.0,동양레미콘,35.07578667,129.0060017,시내
242,2167,210990101.0,감천1.2.3부두,35.068205,129.0094483,시내
243,2168,210980302.0,동양레미콘,35.07618667,129.0060733,시내
244,2169,168780101.0,대신중학교,35.117025,129.01375,시내
245,2170,168570501.0,경남고등학교,35.11913667,129.0179917,시내
246,2171,208920201.0,현대아파트,35.07090221,129.0175323,시내
247,2172,209910102.0,현대아파트,35.07085667,129.0168217,시내
248,2173,168750204.0,해강노인관,35.08504167,129.0202183,시내
249,2174,168640301.0,해강노인관,35.08483,129.0200583,시내
250,2175,168520101.0,모지포마을,35.06372667,129.014525,시내
251,2177,168520201.0,성진수산,35.06218652,129.0120101,시내
252,2178,168850101.0,성진수산,35.06193789,129.0121305,시내
