정류소 번호,정류소 아이디,정류소 명,위도,경도,정류장 구분
1001,167970102,영주삼거리,35.11532333,129.0332617,시내
1003,167970301,시민아파트,35.115075,129.0316783,시내
1005,167970302,중앙공원.민주공원입구,35.11447333,129.0298583,시내
1008,167970201,동아아파트,35.11396667,129.0304267,시내
1010,167660301,부산터널위,35.113068,129.031769,시내
1011,167840202,동주파크맨션,35.11144167,129.02967,시내
1013,168020202,금호아파트,35.11149667,129.03072,시내
1015,167840203,청운아파트,35.109655,129.0305383,시내
1017,168020201,부산디지털고,35.109566,129.031799,시내
1021,168020102,중구청.메리놀병원,35.10753447,129.0329333,시내
1024,167910102,거북맨션,35.10979623,129.0339339,시내
1026,167910202,코모도호텔,35.11018833,129.0348783,시내
1027,167670201,영주신호대,35.111245,129.0344317,시내
1028,167680201,영주동,35.11225491,129.0350043,시내
1036,167930101,2부두,35.10856167,129.0406533,시내
1044,169270202,연안여객터미널,35.10607667,129.039155,시내
1046,167930201,부산세관,35.10401667,129.03744,시내
1047,167710301,제일은행앞,35.10295167,129.0348333,시내
1048,167950102,백산기념관.영화체험박물관,35.10268257,129.0342469,시내
1052,167730101,부산항만공사,35.10077,129.037685,시내
1058,208830101,중앙공원.민주공원,35.112736,129.028602,시내
1061,167960201,영도대교.남포역,35.09731831,129.0360163,시내
1064,167850202,영도대교,35.09705833,129.035885,시내
1068,168000105,자갈치시장,35.097535,129.032435,시내
1076,168000102,신동아시장,35.09713381,129.0293006,시내
1080,167810401,서구청.충무동,35.09802842,129.0255678,시내
1083,167920101,부평시장,35.10125833,129.0251683,시내
1085,167920501,남포주유소,35.10150561,129.0225112,시내
1088,167890101,보수초등학교,35.10562987,129.0238655,시내
1090,167770301,보수사거리,35.10324833,129.0243683,시내
1092,167790201,국제시장,35.10284445,129.0286089,시내
1096,167790204,국제시장.부산근대역사관,35.10277284,129.030568,시내
1101,167790101,새들맨션,35.10501667,129.0309433,시내
1103,168250101,중구종합사회복지관,35.10577,129.02863,시내
1105,168410206,보수아파트,35.10738667,129.0261567,시내
1107,168410205,혜광고교,35.10892333,129.024225,시내
1111,167780101,보수동책방골목,35.10305667,129.0264483,시내
1113,167670203,코모도호텔입구,35.10809113,129.0343147,시내
1703,510080000,중부경찰서삼거리,35.10756417,129.0362468,시내
1704,510130000,중앙역.중부경찰서삼거리,35.10670363,129.0362418,시내
1705,510120000,중앙역.부산우체국,35.10333253,129.036284,시내
1707,509930000,부산데파트,35.1008113,129.0364297,시내
1709,509840000,남포역.옛시청교차로,35.09859655,129.035766,시내
1711,509830000,남포동,35.09792981,129.0325367,시내
1713,510040000,자갈치역.비프광장,35.09812482,129.0295042,시내
2002,168570301,구덕초등학교,35.1195851,129.0129313,시내
2004,168780301,서부교육청,35.11816833,129.0119733,시내
2006,168470401,동아대병원입구,35.1174473,129.0167113,시내
2007,168570101,구덕운동장,35.11655833,129.0167683,시내
2009,168950301,동대신3동,35.11722,129.0182933,시내
2011,168410202,동대고개,35.11605684,129.0217543,시내
2013,168410203,대신여중,35.1133,129.0257783,시내
2015,168410204,락서암,35.11035667,129.0246133,시내
2018,167900101,화랑초등학교,35.10983305,129.0227178,시내
2020,168370101,동대시장,35.11065502,129.0199411,시내
2022,168670301,동대시장.동대신역,35.11041004,129.0184501,시내
2023,168670101,부산터널입구,35.11166396,129.0228448,시내
2024,168820301,서여고,35.11262833,129.0212833,시내
