,정류소 번호,정류소 아이디,정류소 명,위도,경도,정류장 구분
175,2098,168480103.0,초장동,35.09285671,129.018436,시내
177,2100,168750201.0,대원사,35.091555,129.020005,시내
179,2102,168400201.0,남부민시장입구,35.09265387,129.0221269,시내
181,2104,168460301.0,충무쇼핑.충무동새벽시장,35.092815,129.023895,시내
183,2106,211000104.0,공동어시장,35.089665,129.024375,시내
185,2108,168540303.0,남부민초등학교,35.08782833,129.0234067,시내
187,2110,168640303.0,동천아파트,35.09005667,129.021685,시내
189,2112,168750203.0,남부민동경로당,35.08767,129.02179,시내
191,2114,168730202.0,천마우편취급국,35.08584833,129.0225133,시내
193,2116,168460305.0,등대시장,35.08471333,129.02478,시내
195,2118,211000101.0,대림아파트,35.082445,129.0251483,시내
197,2120,168450102.0,부산관광고교,35.08211833,129.0220017,시내
198,2121,168540301.0,남부민2동주민센터,35.083805,129.020285,시내
201,2124,168540101.0,신익아파트,35.07998833,129.02039,시내
203,2126,211000201.0,암남동주민센터,35.07986201,129.0213187,시내
205,2128,168560101.0,송도교차로,35.07836833,129.0183633,시내
206,2129,168560301.0,송도입구,35.079465,129.0180467,시내
207,2130,168420301.0,고신대학교복음병원,35.08147046,129.0161511,시내
208,2131,168430201.0,알로이시오기념병원,35.08211833,129.01282,시내
213,2136,168560201.0,송도초등학교,35.07883833,129.016815,시내
215,2138,209910203.0,송도해수욕장,35.076375,129.0161333,시내
217,2140,168560203.0,송도공영주차장,35.074225,129.015295,시내
219,2142,208920202.0,혜성아파트,35.07149833,129.0161383,시내
221,2144,208920101.0,휴게소,35.06607833,129.0192967,시내
224,2147,168550201.0,모지포마을입구,35.06279167,129.0163333,시내
225,2148,168550202.0,모지포마을,35.06377167,129.014585,시내
226,2149,168780102.0,경성전자고등학교,35.11605574,129.0135498,시내
228,2151,168510101.0,동원냉장,35.065605,129.012798,시내
229,2152,168510301.0,감천1.2.3부두,35.06832833,129.0094683,시내
231,2154,168760201.0,민들레맨션,35.10864833,129.0092033,시내
233,2156,210980301.0,인성글로벌냉장,35.072705,129.006735,시내
235,2158,208850201.0,한일냉장,35.08054,129.0053883,시내
237,2160,168780302.0,서대신금호아파트(종점),35.11932333,129.0111617,시내
238,2161,209910201.0,송도혜성아파트(종점),35.072275,129.015955,시내
239,2162,168250305.0,동대신2동,35.11524333,129.0238267,시내
241,2166,208850202.0,동양레미콘,35.07578667,129.0060017,시내
244,2169,168780101.0,대신중학교,35.117025,129.01375,시내
245,2170,168570501.0,경남고등학교,35.11913667,129.0179917,시내
246,2171,208920201.0,현대아파트,35.07090221,129.0175323,시내
248,2173,168750204.0,해강노인관,35.08504167,129.0202183,시내
251,2177,168520201.0,성진수산,35.06218652,129.0120101,시내
253,2179,168850201.0,부산국제수산물도매시장,35.059938,129.011436,시내
256,2182,212650201.0,수산가공선진화단지입구,35.05705224,129.0122832,시내
258,2184,215970101.0,수산가공선진화단지,35.05463798,129.0119554,시내
260,2186,168750205.0,남부민동,35.08326948,129.0179927,시내
261,2187,168630201.0,동산교회,35.08439027,129.0157694,시내
262,2188,168870201.0,알로이시오고교,35.08234815,129.0122987,시내
265,2191,210740201.0,천마마을,35.08451163,129.0144322,시내
267,2195,168600303.0,까치고개,35.10458167,129.011425,시내
268,3001,170050202.0,범곡교차로,35.14008672,129.0562937,시내
270,3003,169300101.0,부산범천교회,35.14184118,129.0548604,시내
271,3004,169210102.0,아름빌아파트,35.14152152,129.0522487,시내
273,3006,169210101.0,서광교회,35.139965,129.05114,시내
275,3008,169410301.0,범일초등학교,35.14069833,129.0490067,시내
276,3009,169410302.0,삼화약국,35.14337333,129.0487933,시내
281,3014,210060101.0,성북고개,35.138795,129.04816,시내
284,3017,210060201.0,좌천할인마트.서린엘마르더뷰,35.13672468,129.0470004,시내
285,3018,210050101.0,좌천동농심가슈퍼,35.13684333,129.0472967,시내
286,3019,169230301.0,수정삼거리,35.13534833,129.04568,시내
290,3023,169230201.0,수정5동,35.13402167,129.0446783,시내
292,3025,169230202.0,수정성당입구,35.13232833,129.046115,시내
293,3027,169440301.0,수정초등학교,35.13136667,129.046995,시내
294,3028,169200101.0,수성초등학교,35.13391167,129.042705,시내
296,3030,169200301.0,동여중,35.13232167,129.042245,시내
298,3032,169500301.0,수정2동,35.13030167,129.04061,시내
300,3034,169500101.0,수정아파트,35.12719,129.040875,시내
302,3036,169500102.0,묘심사,35.12651333,129.03943,시내
303,3037,169180201.0,부산서중학교,35.12593656,129.0357555,시내
306,3040,169310103.0,초량6동,35.12421,129.0348467,시내
308,3042,169310102.0,부산컴퓨터과학고교,35.12223833,129.0338733,시내
310,3044,169310101.0,금수사,35.11983167,129.0307667,시내
