"정류장번호","위치명(정류장명)","설치년도","주소","좌표정보(위도)","좌표정보(경도)","데이터기준일자"
"16552","기장시장","-","기장군 기장읍 274-22","35.2452896448","129.2160132536","2021-01-13"
"16553","기장군청","-","기장읍 청강리 3-3","35.2441627721","129.2208053407","2021-01-13"
"16555","교리초등학교","-","기장군 기장읍 323-7","35.2542540054","129.2154806374","2021-01-13"
"16557","교리","-","기장읍 교리 365","35.2525127370","129.2140505014","2021-01-13"
"16558","기장교리아파트","-","기장읍 교리 331-10","35.2529887309","129.2145070445","2021-01-13"
"16562","청강사거리(탐라포크앞)","-","기장읍 청강리 298-8","35.2364733877","129.2175407465","2021-01-13"
"16563","교리초등학교","-","기장읍 차성로 414","35.2537224727","129.2155720687","2021-01-13"
"92443","송정방근마을(세계로교회)","-","부산 강서구 송정동 1539","35.0995412845","128.8420789006","2021-01-13"
"번호없음","국내선","-","강서구 대저2동 2764-1","35.1707984848","128.9506443314","2021-01-13"
"번호없음","김해공항 국제선","-","강서구 대저2동 2551-85","35.1739492778","128.9471900209","2021-01-13"
"번호없음","경제자유구역청","-","강서구 송정동 1706","35.0865862368","128.8394595089","2021-01-13"
"15051","덕포시장","-","사상구 덕포동 421-9","35.1718388846","128.9829965347","2021-01-13"
"15053","덕포시장","-","사상구 덕포동 420-12","35.1719836079","128.9834535415","2021-01-13"
"15055","남영아파트","-","부산 사상구 덕포동 792","35.1731565555","128.9893052930","2021-01-13"
"15056","신라대학교입구","-","부산 사상구 덕포동 792","35.1731565555","128.9893052930","2021-01-13"
"15065","사상초등학교","-","사상구 괘법동 820-2","35.1669398385","128.9825114465","2021-01-13"
"15067","사상초등학교","-","사상구 괘법동 524-9","35.1661226119","128.9824313563","2021-01-13"
"15072","서부시외버스터미널","-","사상구 괘법동 534-15","35.1632368026","128.9840365818","2021-01-13"
"15073","서부시외버스터미널","-","사상구 괘법동 545-18","35.1626737914","128.9855789963","2021-01-13"
"15076","서부시외버스터미널","-","사상구 괘법동 572-21","35.1628018399","128.9816237238","2021-01-13"
"15079","사상근린공원","-","사상구 감전동 314-2","35.1581871776","128.9932715698","2021-01-13"
"15080","감전동","-","사상구 감전동 305","35.1576849249","128.9930049555","2021-01-13"
"15081","삼대한의원","-","사상구 감전동 108-1","35.1589654946","128.9880209457","2021-01-13"
"15082","삼대한의원","-","사상구 감전동 107-16","35.1586805819","128.9877605276","2021-01-13"
"15095","북부산세무서(감전역)","-","사상구 감전동 134-21","35.1550072","128.9907053","2021-01-13"
"15097","북부산세무서","-","사상구 감전동 136-49","35.1549992732","128.9915568584","2021-01-13"
"15098","북부산세무서","-","사상구 감전동 380-1","35.1552740845","128.9919323553","2021-01-13"
"15099","사상종합복지관","-","부산 사상구 주례동 1005","35.1558900596","128.9948274382","2021-01-13"
"15100","주감중학교","-","사상구 주례동 995","35.1562924039","128.9955021159","2021-01-13"
"15101","백양마을","-","사상구 주례동 965-8","35.1541424824","128.9978301216","2021-01-13"
"15102","백양마을","-","사상구 주례동 858","35.1538079628","128.9972566309","2021-01-13"
"15103","주감초등학교","-","부산 사상구 주례동 319","35.1534714526","129.0008280995","2021-01-13"
"15104","주감초등학교","-","사상구 주례동 367-1","35.1525544220","129.0011769486","2021-01-13"
"15105","보훈병원","-","사상구 주례동 316","35.1531831660","129.0044034624","2021-01-13"
"15106","보훈병원","-","사상구 주례1동 333-60","35.1523988006","129.0039069179","2021-01-13"
"15107","반도보라아파트","-","사상구 주례동 1241-16","35.1530383935","129.0115484973","2021-01-13"
"15108","반도보라아파트","-","사상구 주례2동 1231-66","35.1525860239","129.0122688912","2021-01-13"
"15109","신주례LG아파트","-","사상구 백양대로 328","35.1538842229","129.0157010586","2021-01-13"
"15110","신주례LG아파트","-","사상구 주례동 1228-3","35.1536720697","129.0161568914","2021-01-13"
"15111","경남정보대","-","사상구 주례동 23-2","35.1516131612","129.0127978238","2021-01-13"
"15112","경남정보대","-","사상구 주례동 62-5","35.1514848525","129.0121296325","2021-01-13"
"15113","경남정보대","-","사상구 주례동 60-8","35.1509956171","129.0129153739","2021-01-13"
"15114","경남정보대","-","사상구 주레동 60-71","35.15101185","129.0120695","2021-01-13"
"15115","삼선병원","-","사상구 주례동 189-20","35.1506454936","129.0086444962","2021-01-13"
"15116","럭키아파트","-","사상구 주례동 412-21","35.1509075032","129.0044591102","2021-01-13"
"15117","럭키아파트","-","사상구 주례동 439-26","35.1506759982","129.0018977862","2021-01-13"
"15118","럭키아파트","-","사상구 주례동 507-11","35.1500721840","129.0043950580","2021-01-13"
"15119","럭키아파트(주례)","-","사상구 주례3동 1162-12","35.1501419917","129.0026046932","2021-01-13"
"15121","주례1동주민센터","-","사상구 주례동 720-1","35.1513634909","128.9981985337","2021-01-13"
"15122","주례1동주민센터","-","사상구 주례동 693-12","35.1507179281","128.9987696490","2021-01-13"
"15127","주례사거리","-","부산 사상구 주례동 693-24","35.1502935821","128.9986047801","2021-01-13"
"15130","사상전화국","-","사상구 가야대로 170","35.1490505867","128.9910924604","2021-01-13"
"15131","사상구청","-","사상구 감전동 138-18","35.15279167","128.990365","2021-01-13"
"15137","새벽시장","-","사상구 감전동 142-15","35.1542929564","128.9831911548","2021-01-13"
"15154","동양아파트","-","사상구 학장동 244-2","35.1451101659","128.9921628267","2021-01-13"
"15157","여성문화회관","-","사상구 학장동 530","35.1417579118","128.9884092199","2021-01-13"
"15158","구덕고교","-","사상구 학장동 185-11","35.1392570427","128.9914599986","2021-01-13"
"15159","구학초등학교","-","사상구 학장동 168-4","35.1372075847","128.9946369053","2021-01-13"
"15160","구학초등학교","-","사상구 학장동 168-4","35.1372075847","128.9946369053","2021-01-13"
"15162","여성문화회관","-","사상구 학장동 561","35.1417280318","128.9889008727","2021-01-13"
"15167","학장중학교","-","사상구 학장동 574-66","35.1401993980","128.9815633557","2021-01-13"
"15168","학장중학교-1","-","사상구 학장동 574-32","35.1401157880","128.9816227654","2021-01-13"
"15174","반도보라아파트","-","사상구 학장동 573-2","35.1379940240","128.9782776409","2021-01-13"
"15175","엄궁중학교-1","-","사상구 학장동 820-29","35.1367774653","128.9764149380","2021-01-13"
"15176","엄궁중학교","-","사상구 학장동 820-36","35.1366283876","128.9759301733","2021-01-13"
"15186","엄궁 럭키아파트","-","사상구 엄궁동 25-19","35.1330756785","128.9739114117","2021-01-13"
"15188","엄궁삼거리","-","사상구 엄궁동 530-4","35.1302583283","128.9712316624","2021-01-13"
"15196","엄궁사거리","-","사상구 엄궁동 571-9","35.1315568314","128.9725500425","2021-01-13"
"15198","엄궁한신1차아파트","-","사상구 엄궁동 산 106-1","35.1246748214","128.9663987058","2021-01-13"
"15199","엄궁한신1차아파트","-","사상구 엄궁동 산 107-1","35.1254966769","128.9678988290","2021-01-13"
"15219","대림아파트","-","부산 사상구 엄궁동 673","35.1285677548","128.9781346886","2021-01-13"
"15220","코오롱아파트정문","-","부산 사상구 엄궁동 689","35.1260066288","128.9770892612","2021-01-13"
"15224","한신아파트 정문","-","사상구 엄궁동 189-37","35.1243194500","128.9707326834","2021-01-13"
"15247","쌍용스윗닷홈","-","사상구 엄궁동 678-5","35.1246494280","128.9750295333","2021-01-13"
"15261","신라대종점","-","사상구 괘법동 1-1","35.1723468664","128.9983565115","2021-01-13"
"15282","대정. 성지","-","사상구 삼락동 343-1","35.1864857330","128.9782825600","2021-01-13"
"15283","온골마을입구","-","사상구 주례동 1275-3","35.1524862096","128.9957587268","2021-01-13"
"16001","공수","-","기장군 시랑리 591-2","35.1839046122","129.2104794785","2021-01-13"
"16002","당사양경마을","-","기장읍 시랑리 706","35.1954357166","129.2215639461","2021-01-13"
"16005","무양","-","기장군 기장읍 대변리 482-2","35.2276372293","129.2259194444","2021-01-13"
"16006","안평고촌","-","기장군 철마면 안평리 543-82","35.2377619834","129.1730462902","2021-01-13"
"16007","농업기술센터(기장방면)","-","기장읍 만화리 550-2","35.2530177796","129.1924934032","2021-01-13"
"16009","일광역","-","부산 기장군 일광면 삼성리 33-19","35.2657128832","129.2337338638","2021-01-13"
"16010","이천","-","기장군 일광면 이천리 509-3","35.26655","129.238239","2021-01-13"
"16013","동백","-","기장군 일광면 동백리 51-11","35.2898145981","129.2572434535","2021-01-13"
"16014","칠암","-","기장군 칠암리 151-2","35.2986722998","129.2584583130","2021-01-13"
"16020","기장구조대","-","기장군 정관읍 예림리 328-10","35.3246352026","129.2124204713","2021-01-13"
"16021","예림마을","-","기장군 정관면 예림리 513-2","35.3250969407","129.2064166672","2021-01-13"
"16022","서편마을","-","기장군 정관읍 예림리 845-5","35.3243282752","129.2026682991","2021-01-13"
"16024","강변마을","-","정관읍 달산리 1224","35.3218953177","129.1921639808","2021-01-13"
"16025","달산마을","-","기장군 정관읍 방곡리 408","35.3214256991","129.1899299072","2021-01-13"
"16030","웅천","-","기장군 철마면 웅천리 418-1","35.2894384553","129.1681959544","2021-01-13"
"16033","철마면사무소(기장방향)","-","철마면 장전리 282-6","35.2742836786","129.1503064829","2021-01-13"
"16037","덕산마을","-","기장군 정관읍 방곡리 267-2","35.3227613192","129.1833266044","2021-01-13"
"16038","신동아파밀리에 후문","-","기장군 정관읍 용수리 1322","35.3256794611","129.1759740630","2021-01-13"
"16039","평전마을","-","기장군 정관읍 용수리 635-7","35.3284383692","129.1738034560","2021-01-13"
"14004","망미중앙시장","-","수영구 망미동 430-45","35.1743834127","129.1076612505","2021-01-13"
"14005","동원보라아파트","-","수영구 남천동 491-2","35.1422858230","129.1027389325","2021-01-13"
"14006","금호주유소","-","부산 수영구 망미동 420-5","35.1725304367","129.1091637216","2021-01-13"
"14007","망미지하철역","-","수영구 망미동 697-7","35.1719797698","129.1073041881","2021-01-13"
"14008","수영강변3차 e-편한세상","-","수영구 망미동 45-5","35.1800651742","129.1165815604","2021-01-13"
"14009","망미역","-","수영구 광안동 1027-30","35.1714993089","129.1077837842","2021-01-13"
"14011","망미중소 기업은행","-","수영구 망미1동 831-21","35.1733516633","129.1002984726","2021-01-13"
"14012","망미중소기업은행","-","수영구 망미동 832-35","35.1733066545","129.0994383000","2021-01-13"
